make -C bluesim --no-print-directory run
LD_PRELOAD=libSegFault.so SEGFAULT_USE_ALTSTACK=1 SEGFAULT_OUTPUT_NAME=bin/bsimexe-segv-output.txt  ./bin/ubuntu.exe ; retcode=$?; exit $retcode
Start testbench:
XsimTop starting
Request 000005b4 00f577b3
Request 000005b8 03370713
Request 000005bc 02e78063
Request 000005c0 00100793
Request 000005c4 78079073
Request 000005c8 0000006f
Request 000005cc 01071713
Request 000005d0 01075713
Request 000005d4 78071073
Request 000005d8 0000006f
Request 000005dc 01255793
Request 000005e0 07c7f793
Request 000005e4 00d55713
Request 000005e8 00f607b3
Request 000005ec 07c77713
Request 000005f0 0007a803
Request 000005f4 00e60733
Request 000005f8 00755513
Request 000005fc 00072683
Request 00000600 01f57513
Request 00000604 02000713
Request 00000608 00000893
Request 0000060c 0016f793
Request 00000610 fff70713
Request 00000614 00078463
Request 00000618 010888b3
Request 0000061c 0016d693
Request 00000620 00181813
Request 00000624 fe0714e3
Request 00000628 00251793
Request 0000062c 00f60633
Request 00000630 01162023
Request 00000634 00458513
Request 00000638 00008067
Request 0000063c 01071793
Request 00000640 000206b7
Request 00000644 0107d793
Request 00000648 00d7e7b3
Request 0000064c 78079073
Request 00000650 01075793
Request 00000654 00030737
Request 00000658 00e7e7b3
Request 0000065c 78079073
Request 00000660 fd5ff06f
Request 00000664 01071793
Request 00000668 0107d793
Request 0000066c 00010737
Request 00000670 00e7e7b3
Request 00000674 78079073
Request 00000678 fbdff06f
Request 0000067c ffc77793
Request 00000680 0007a603
Request 00000684 00371693
Request 00000688 0186f693
Request 0000068c 0ff00793
Request 00000690 00d797b3
Request 00000694 00c7f7b3
Request 00000698 00d7d7b3
Request 0000069c f8078ce3
Request 000006a0 00010637
Request 000006a4 fff60813
Request 000006a8 0ff00513
Request 000006ac 0107f7b3
Request 000006b0 00c7e7b3
Request 000006b4 78079073
Request 000006b8 00170713
Request 000006bc ffc77793
Request 000006c0 0007a883
Request 000006c4 00371693
Request 000006c8 0186f693
Request 000006cc 00d517b3
Request 000006d0 0117f7b3
Request 000006d4 00d7d7b3
Request 000006d8 fc079ae3
Request 000006dc f59ff06f
Request 000006e0 ff010113
Request 000006e4 00000593
Request 000006e8 00000513
Request 000006ec 00112623
Request 000006f0 018000ef
Request 000006f4 00000893
Request 000006f8 00000073
Request 000006fc 00c12083
Request 00000700 01010113
Request 00000704 00008067
Request 00000708 00001537
Request 0000070c e4010113
Request 00000710 86050513
Request 00000714 1a112e23
Request 00000718 1a812c23
Request 0000071c 1a912a23
Request 00000720 1b212823
Request 00000724 1b312623
Request 00000728 1b412423
Request 0000072c 1b512223
Request 00000730 1b612023
Request 00000734 19712e23
Request 00000738 e1dff0ef
Request 0000073c c0002bf3
Request 00000740 c0202b73
Request 00000744 00001437
Request 00000748 8c040a13
Request 0000074c 190a0493
Request 00000750 00010a93
Request 00000754 8c040413
Request 00000758 00048993
Request 0000075c 000a8913
Request 00000760 0004a583
Request 00000764 00042503
Request 00000768 00440413
Request 0000076c 00448493
Request 00000770 c95ff0ef
Request 00000774 00a92023
Request 00000778 00490913
Request 0000077c ff3412e3
Request 00000780 c00024f3
Request 00000784 417484b3
Request 00000788 c0202473
Request 0000078c 00001537
Request 00000790 87450513
Request 00000794 dc1ff0ef
Request 00000798 00048513
Request 0000079c da1ff0ef
Request 000007a0 00a00513
Request 000007a4 da5ff0ef
Request 000007a8 00001537
Request 000007ac 88050513
Request 000007b0 da5ff0ef
Request 000007b4 41640433
Request 000007b8 00040513
Request 000007bc d81ff0ef
Request 000007c0 00a00513
Request 000007c4 d85ff0ef
Request 000007c8 00000413
Request 000007cc 320a0793
Request 000007d0 06400613
Request 000007d4 00c0006f
Request 000007d8 00478793
Request 000007dc 06c40263
Request 000007e0 000aa683
Request 000007e4 0007a703
Request 000007e8 00140413
Request 000007ec 004a8a93
Request 000007f0 fee684e3
Request 000007f4 00001537
Request 000007f8 88c50513
Request 000007fc d59ff0ef
Request 00000800 00040513
Request 00000804 d39ff0ef
Request 00000808 00a00513
Request 0000080c d3dff0ef
Request 00000810 1bc12083
Request 00000814 00040513
Request 00000818 1b812403
Request 0000081c 1b412483
Request 00000820 1b012903
Request 00000824 1ac12983
Request 00000828 1a812a03
Request 0000082c 1a412a83
Request 00000830 1a012b03
Request 00000834 19c12b83
Request 00000838 1c010113
Request 0000083c 00008067
Request 00000840 00000413
Request 00000844 fb1ff06f
Request 00000848 00001537
Request 0000084c 00300893
Request 00000850 89450513
Request 00000854 00000073
Request 00000858 fff00513
Request 0000085c 00008067
Request 00000860 636e6542
Request 00000864 72616d68
Request 00000868 756d206b
Request 0000086c 7069746c
Request 00000870 000a796c
Request 00000874 6c637943
Request 00000878 3d207365
Request 0000087c 00000020
Request 00000880 74736e49
Request 00000884 3d202073
Request 00000888 00000020
Request 0000088c 75746552
Request 00000890 00206e72
Request 00000894 6c706d49
Request 00000898 6e656d65
Request 0000089c 616d2074
Request 000008a0 29286e69
Request 000008a4 6f66202c
Request 000008a8 000a216f
Request 000008ac 00000000
Request 000008b0 00000000
Request 000008b4 00000000
Request 000008b8 00000000
Request 000008bc 00000000
Request 000008c0 00000029
Request 000008c4 000001c6
Request 000008c8 00000341
Request 000008cc 0000014f
Request 000008d0 00000234
Request 000008d4 00000001
Request 000008d8 000000bb
Request 000008dc 000003dd
Request 000008e0 000002ed
Request 000008e4 0000016d
Request 000008e8 0000015e
Request 000008ec 0000023c
Request 000008f0 00000084
Request 000008f4 00000040
Request 000008f8 000003b5
Request 000008fc 00000099
Request 00000900 00000248
Request 00000904 000000d8
Request 00000908 00000325
Request 0000090c 0000008c
Request 00000910 0000026d
Request 00000914 000000d2
Request 00000918 00000006
Request 0000091c 0000023c
Request 00000920 000003a3
Request 00000924 00000153
Request 00000928 0000037a
Request 0000092c 00000251
Request 00000930 00000188
Request 00000934 00000382
Request 00000938 000002b6
Request 0000093c 000000e4
Request 00000940 000003c1
Request 00000944 0000000c
Request 00000948 0000006e
Request 0000094c 00000373
Request 00000950 00000074
Request 00000954 000002ee
Request 00000958 00000128
Request 0000095c 00000286
Request 00000960 000001aa
Request 00000964 000001f4
Request 00000968 0000013a
Request 0000096c 000001b4
Request 00000970 00000293
Request 00000974 000002bd
Request 00000978 00000306
Request 0000097c 0000032c
Request 00000980 0000013f
Request 00000984 000003d5
Request 00000988 000002a6
Request 0000098c 00000096
Request 00000990 0000036b
Request 00000994 000002b8
Request 00000998 00000178
Request 0000099c 00000234
Request 000009a0 000001da
Request 000009a4 00000110
Request 000009a8 000003aa
Request 000009ac 00000102
Request 000009b0 0000021b
Request 000009b4 00000287
Request 000009b8 00000239
Request 000009bc 000001fd
Request 000009c0 000000cb
Request 000009c4 00000058
Request 000009c8 00000118
Request 000009cc 000002bf
Request 000009d0 000002f7
Request 000009d4 0000029d
Request 000009d8 0000025e
Request 000009dc 00000177
Request 000009e0 000001ff
Request 000009e4 00000227
Request 000009e8 00000291
Request 000009ec 000003a8
Request 000009f0 000000c3
Request 000009f4 00000250
Request 000009f8 00000051
Request 000009fc 00000239
